output,grid_path
N,"['KECABBAB', 'KECABBAA']"
N,['KECABBAD']
N,['KECABBAC']
N,['KECABBAC']
N,['KECABBAC']
N,"['KECABACB', 'KECABACA', 'KECABAAC', 'KECABAAA', 'KECABAAB', 'KECABABA', 'KECABABB', 'KECABBAA']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KECABBAA', 'KECABBAC']"
N,['KECABBAA']
N,"['KECABBAA', 'KECABBAB']"
N,['KECABBAB']
N,"['KECABBAB', 'KECABBAA']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KECABABB', 'KECABABD', 'KECABADB']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KECABBAA', 'KECABBAC']"
N,['KECABBAC']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KEACDDCD', 'KECABBAA']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,"['KECABBAB', 'KECABBAA', 'KECABBAB']"
N,"['KECABBAB', 'KECABBAA']"
N,"['KECABBAD', 'KECABBCA', 'KECABADB', 'KECABADD', 'KECABADC', 'KECABACD', 'KECABACC', 'KECABCAA', 'KECABCAB', 'KECABCBA', 'KECABCBC', 'KECADCBA', 'KECADCBC', 'KECADCAD', 'KECADCCB', 'KECADCDA', 'KECADCDB', 'KECADCDD', 'KECADDCC', 'KECADDCD', 'KECADDDC', 'KECADDDD', 'KECBCCCC', 'KECDAAAA', 'KECDAAAB', 'KECDAABA', 'KECDAABB', 'KECDABAA', 'KECDABAB', 'KECDABBA', 'KECDABBB', 'KECDBAAA', 'KECDBAAC', 'KECDBACA', 'KECDBACC', 'KECDBCAA', 'KECDBCAC', 'KECDBCAD', 'KECDBCCB', 'KECDBCDC', 'KECDBCDD', 'KECDDABB', 'KECDDBAA', 'KECDDBAC', 'KECDDBCA', 'KECDDBCC', 'KECDDDAA', 'KECDDDAC', 'KECDDCBD', 'KECDDCDB', 'KECDDCDC', 'JEABBABA', 'JEABBAAB', 'JEABBAAD', 'JEABBABC', 'JEABBADA', 'JEABBADC', 'JEABBACD', 'JEABBCAB', 'JEABBCAD', 'JEABBCCB', 'JEABBCCD', 'JEABDAAB', 'JEABDAAD', 'JEABDACB', 'JEABDACD', 'JEABDADC', 'JEABDCBA', 'JEABDCBC', 'JEABDCBD', 'JEABDCDA']"
AN,"['JEADBDDC', 'JEBCCCDC']"
AN,"['JFDCACAC', 'JFDCACAD', 'JFDCACBC', 'JFDCACBD', 'JFDCADAC', 'JFDCBCAC']"
AN,"['IHCDAABA', 'IHCDAAAB', 'IHCBCCCD', 'IHCADBDA']"
AN,['IGACABDA']
AN,"['IGACABBC', 'IGACABAD', 'IGACABAC', 'IGACABCA']"
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBAA']
N,['KECABBCB']
N,"['KECABBCD', 'KECABBCB', 'KECABADB', 'KECABADD', 'KECABADC', 'KECABACD', 'KECABACC', 'KECABCAA', 'KECABCAB', 'KECABCBA', 'KECADADD', 'KECCBAAC', 'KECCBACA', 'KECCBACD']"
N,"['KECCDBBA', 'KECCDBAB', 'KECCBDCD']"
N,"['KECCDABD', 'KECCDABC']"
